Area,Build year,Building type,Equipment,Floor,Heating system,No. of floors,Number of rooms,Renovation year,price,city,region,street
64,2020,Brick,Fully equipped,6,Central thermostat,6,3,0,259000,Vilnius,Šnipiškės,Rinktinės g.
64,2020,Brick,Fully equipped,5,"Other, central thermostat",6,3,0,259000,Vilnius,Šnipiškės,Rinktinės g.
73.86,2020,Brick,Partial decoration,4,"Electric, aerothermal",4,3,0,106000,Vilnius,Santariškės,Daujoto g.
47,2020,Brick,Fully equipped,2,Central thermostat,6,2,0,129400,Vilnius,Naujamiestis,Gerosios Vilties g.
42,1962,Brick,Fully equipped,3,Central,5,2,0,67000,Vilnius,Naujamiestis,Savanorių pr.
62,2020,Brick,Partial decoration,2,Central thermostat,6,3,0,117900,Vilnius,Vilkpėdė,Gerosios Vilties g.
53.77,2016,Block house,Partial decoration,2,Central thermostat,4,2,0,69000,Vilnius,Antakalnis,Duburio g.
57.51,2020,Brick,Partial decoration,4,"Electric, aerothermal",4,2,0,84000,Vilnius,Santariškės,Daujoto g.
58.84,2020,Brick,Partial decoration,3,"Electric, aerothermal",4,2,0,85500,Vilnius,Santariškės,Daujoto g.
35.22,1985,Brick,Fully equipped,1,Central,5,1,0,83000,Vilnius,Antakalnis,Lentupio g.
73.62,2021,Brick,Partial decoration,1,Gas,1,3,0,76500,Vilnius,Kalnėnai,Juodasis kel.
38.59,2021,Brick,Partial decoration,4,Central thermostat,4,2,0,49990,Klaipėda,Šauliai,Ragainės g.
68.29,2020,Block house,Partial decoration,1,Central thermostat,5,2,0,85400,Vilnius,Pilaitė,Karaliaučiaus g.
40.63,2020,Block house,Partial decoration,3,Central,9,2,0,55500,Kaunas,Dainava,Pramonės pr.
43.08,2021,Brick,Partial decoration,4,Central thermostat,4,2,0,144850,Vilnius,Senamiestis,Polocko g.
55.6,2021,Brick,Partial decoration,4,Central thermostat,4,3,0,99900,Vilnius,Lazdynėliai,Lazdynėlių g.
102.05,2019,Brick,Partial decoration,3,Central,3,4,0,199499,Klaipėda,Centras,Žiedų skg.
55.86,2021,Brick,Partial decoration,4,Central thermostat,5,3,0,86000,Vilnius,Pilaitė,Bitėnų g.
49,2020,Brick,Partial decoration,2,Central thermostat,4,2,0,71000,Kaunas,Dainava,V. Krėvės pr.
24.57,2020,Brick,Fully equipped,1,Central thermostat,7,1,0,40000,Klaipėda,Varpai,Varpų g.
38.79,2020,Brick,Fully equipped,3,Central thermostat,9,2,0,62000,Klaipėda,Varpai,Varpų g.
58.46,2020,Brick,Fully equipped,2,Central thermostat,7,3,0,91000,Klaipėda,Varpai,Varpų g.
67,2020,Block house,Fully equipped,4,Central thermostat,4,3,0,123000,Vilnius,Pilaitė,Karaliaučiaus g.
67,2020,Brick,Partial decoration,1,Central thermostat,5,3,0,144000,Klaipėda,Mažasis kaimelis,Panevėžio g.
63,2020,Brick,Partial decoration,4,Central thermostat,5,3,0,135400,Klaipėda,Mažasis kaimelis,Panevėžio g.
64,2020,Brick,Fully equipped,6,Central thermostat,6,3,0,259000,Vilnius,Šnipiškės,Rinktinės g.
64,2020,Brick,Fully equipped,5,"Other, central thermostat",6,3,0,259000,Vilnius,Šnipiškės,Rinktinės g.
73.86,2020,Brick,Partial decoration,4,"Electric, aerothermal",4,3,0,106000,Vilnius,Santariškės,Daujoto g.
47,2020,Brick,Fully equipped,2,Central thermostat,6,2,0,129400,Vilnius,Naujamiestis,Gerosios Vilties g.
42,1962,Brick,Fully equipped,3,Central,5,2,0,67000,Vilnius,Naujamiestis,Savanorių pr.
62,2020,Brick,Partial decoration,2,Central thermostat,6,3,0,117900,Vilnius,Vilkpėdė,Gerosios Vilties g.
53.77,2016,Block house,Partial decoration,2,Central thermostat,4,2,0,69000,Vilnius,Antakalnis,Duburio g.
57.51,2020,Brick,Partial decoration,4,"Electric, aerothermal",4,2,0,84000,Vilnius,Santariškės,Daujoto g.
58.84,2020,Brick,Partial decoration,3,"Electric, aerothermal",4,2,0,85500,Vilnius,Santariškės,Daujoto g.
35.22,1985,Brick,Fully equipped,1,Central,5,1,0,83000,Vilnius,Antakalnis,Lentupio g.
73.62,2021,Brick,Partial decoration,1,Gas,1,3,0,76500,Vilnius,Kalnėnai,Juodasis kel.
38.59,2021,Brick,Partial decoration,4,Central thermostat,4,2,0,49990,Klaipėda,Šauliai,Ragainės g.
68.29,2020,Block house,Partial decoration,1,Central thermostat,5,2,0,85400,Vilnius,Pilaitė,Karaliaučiaus g.
40.63,2020,Block house,Partial decoration,3,Central,9,2,0,55500,Kaunas,Dainava,Pramonės pr.
43.08,2021,Brick,Partial decoration,4,Central thermostat,4,2,0,144850,Vilnius,Senamiestis,Polocko g.
55.6,2021,Brick,Partial decoration,4,Central thermostat,4,3,0,99900,Vilnius,Lazdynėliai,Lazdynėlių g.
102.05,2019,Brick,Partial decoration,3,Central,3,4,0,199499,Klaipėda,Centras,Žiedų skg.
55.86,2021,Brick,Partial decoration,4,Central thermostat,5,3,0,86000,Vilnius,Pilaitė,Bitėnų g.
49,2020,Brick,Partial decoration,2,Central thermostat,4,2,0,71000,Kaunas,Dainava,V. Krėvės pr.
24.57,2020,Brick,Fully equipped,1,Central thermostat,7,1,0,40000,Klaipėda,Varpai,Varpų g.
38.79,2020,Brick,Fully equipped,3,Central thermostat,9,2,0,62000,Klaipėda,Varpai,Varpų g.
58.46,2020,Brick,Fully equipped,2,Central thermostat,7,3,0,91000,Klaipėda,Varpai,Varpų g.
67,2020,Block house,Fully equipped,4,Central thermostat,4,3,0,123000,Vilnius,Pilaitė,Karaliaučiaus g.
67,2020,Brick,Partial decoration,1,Central thermostat,5,3,0,144000,Klaipėda,Mažasis kaimelis,Panevėžio g.
63,2020,Brick,Partial decoration,4,Central thermostat,5,3,0,135400,Klaipėda,Mažasis kaimelis,Panevėžio g.
54.71,2020,Brick,Partial decoration,2,Central,5,2,0,95912,Vilnius,Lazdynėliai,Bukčių g.
79.15,2016,Brick,Partial decoration,5,Central thermostat,5,3,0,98000,Klaipėda,Miškas,Dragūnų g.
53.58,2020,Brick,Partial decoration,2,Central thermostat,5,2,0,115000,Klaipėda,Mažasis kaimelis,Panevėžio g.
59.88,2021,Brick,Partial decoration,1,Central thermostat,5,3,0,92000,Vilnius,Pilaitė,Bitėnų g.
38.84,2021,Brick,Partial decoration,5,Central,9,2,0,58900,Kaunas,Šilainiai,Naujakurių g.
52.44,2021,Brick,Partial decoration,4,Central thermostat,5,3,0,83000,Vilnius,Pilaitė,Bitėnų g.
28.88,2021,Brick,Partial decoration,2,Central thermostat,4,1,0,55500,Vilnius,Lazdynėliai,Lazdynėlių g.
50.32,1990,Block house,Fully equipped,5,Central,9,2,0,75000,Vilnius,Fabijoniškės,Salomėjos Nėries g.
39.03,2021,Monolithic,Partial decoration,3,Gas,4,2,0,72791,Palanga,Šventoji,Jūros g.
68,2015,Brick,Fully equipped,6,Central thermostat,7,3,0,129000,Vilnius,Lazdynėliai,Jonažolių g.
45.4,2019,Brick,Fully equipped,3,Central thermostat,5,2,0,104420,Palanga,Vėžių g.,None
41.52,2019,Brick,Partial decoration,5,Central thermostat,5,2,0,85110,Palanga,Vėžių g.,None
68.3,2020,Block house,Fully equipped,1,Central thermostat,5,2,0,109900,Vilnius,Pilaitė,Karaliaučiaus g.
60.95,2020,Block house,Partial decoration,2,Central thermostat,9,3,0,73000,Kaunas,Dainava,Pramonės pr.
60,2020,Block house,Fully equipped,4,Central thermostat,4,3,0,114000,Vilnius,Pilaitė,Tolminkiemio g.
74,2020,Block house,Fully equipped,1,Central thermostat,4,3,0,133000,Vilnius,Pilaitė,Karaliaučiaus g.
26.33,2021,Brick,Partial decoration,2,Central thermostat,4,1,0,51500,Vilnius,Lazdynėliai,Lazdynėlių g.
50,1959,Brick,Fully equipped,0,Electric,4,2,0,108000,Vilnius,Naujamiestis,A. Smetonos g.
42.79,2021,Brick,Partial decoration,3,Central thermostat,5,2,0,73700,Vilnius,Pašilaičiai,Budiniškių g.
80,2021,Brick,Partial decoration,4,Central thermostat,8,4,0,107150,Kaunas,Dainava,Partizanų g.
63.57,2020,Brick,Partial decoration,3,Central thermostat,4,3,0,82760,Kaunas,Žaliakalnis,Žemaičių g.
52.14,2020,Brick,Partial decoration,4,Central thermostat,4,2,0,76180,Kaunas,Žaliakalnis,Žemaičių g.
66.34,2021,Brick,Partial decoration,3,Central thermostat,5,3,0,147138,Vilnius,Šnipiškės,Linkmenų g.
61.33,2021,Brick,Fully equipped,3,Gas,3,3,0,70300,Kauno r. sav.,Giraitės k.,Girios g.
61.33,2021,Brick,Partial decoration,2,Gas,3,3,0,55200,Kauno r. sav.,Giraitės k.,Girios g.
63,2020,Brick,Partial decoration,2,Gas,3,3,0,56700,Kauno r. sav.,Giraitės k.,Girios g.
64,2020,Brick,Partial decoration,3,Gas,3,3,0,57600,Kauno r. sav.,Giraitės k.,Girios g.
100,2019,Brick,Fully equipped,1,Gas,2,4,0,110000,Kauno r. sav.,Giraitės k.,Adolfo Šapokos g.
47.84,2020,Brick,Partial decoration,2,Central thermostat,8,2,0,95700,Vilnius,Šnipiškės,Kernavės g.
76.81,2018,Brick,Partial decoration,1,Central thermostat,7,3,0,112400,Klaipėda,Miškas,Šarlotės g.
76.52,2019,Brick,Partial decoration,3,Central thermostat,7,3,0,124000,Klaipėda,Miškas,Šarlotės g.
65.64,2019,Brick,Partial decoration,3,Central,4,4,0,116800,Vilnius,Justiniškės,Taikos g.
22.45,2021,Brick,Partial decoration,3,Central thermostat,4,1,0,42500,Vilnius,Lazdynėliai,Lazdynėlių g.
61,2020,Brick,Partial decoration,3,Central thermostat,4,3,0,78600,Kaunas,Dainava,V. Krėvės pr.
50.72,2020,Brick,Partial decoration,2,Gas,4,2,0,104130,Vilnius,Burbiškės,Burbiškių g.
65,2021,Brick,Partial decoration,5,Central thermostat,9,3,0,83000,Vilnius,Justiniškės,Rygos g.
54.95,2021,Brick,Partial decoration,2,Central,9,3,0,71500,Kaunas,Šilainiai,Naujakurių g.
46.19,2016,Brick,Fully equipped,6,Central thermostat,7,2,0,98285,Vilnius,Karoliniškės,Sausio 13-osios g.
60.76,1981,Block house,Fully equipped,6,Central,9,3,0,67000,Kaunas,Eiguliai,Ukmergės g.
52.68,2021,Brick,Partial decoration,3,Central thermostat,5,2,0,82000,Vilnius,Pilaitė,Bitėnų g.
